iter	Passed	Remaining
0	260	260168
1	349	174317
2	401	133343
3	488	121604
4	548	109075	5	632	10476	66	698	9907	77	767	9518	88	843	9299	885	87616
10	955	85944
11	1014	83530
12	1135	86188
13	1235	87008
1414	1302	85151515	1427	87801616	1520	87941717	1662	90701818	1760	90881919	1842	90267
20	1921	89557
21	1991	88513
22	2050	87088
23	2180	88678
24	2280	88956
25	2352	88136
26	2409	86839
27	2501	86842
28	2622	87815
29	2772	89641
30	2894	90476
31	2992	90529
32	3102	90902
33	3214	91326
34	3302	91047
35	3423	91684
36	3552	92470
37	3625	91793
38	3689	90905
39	3762	90295
40	3872	90570
41	3917	89365
42	3984	88676
43	4064	88299
44	4158	88252
45	4244	88027
46	4307	87348
47	4339	86061
48	4397	85345
49	4466	84866
50	4540	84480
51	4640	84599
52	4713	84224
53	4783	83796
54	4815	82735
55	4877	82225
56	4958	82032
57	5037	81820
58	5088	81153
59	5146	80620
60	5198	80029
61	5256	79524
62	5310	78976
63	5367	78494
64	5423	78013
65	5491	77711
66	5567	77532
67	5626	77121
68	5713	77088
69	5771	76680
70	5818	76135
71	5905	76111
72	5936	75379
73	5984	74884
74	6071	74876
75	6132	74552
76	6214	74494
77	6272	74149
78	6349	74020
79	6451	74186
80	6506	73821
81	6564	73485
82	6613	73064
83	6669	72724
84	6736	72518
85	6787	72137
86	6859	71981
87	6921	71728
88	7018	71840
89	7076	71549
90	7140	71321
91	7201	71070
92	7275	70951
93	7331	70665
94	7425	70740
95	7512	70746
96	7593	70688
97	7651	70421
98	7719	70252
99	7795	70163
100	7861	69975
101	7965	70125
102	8017	69820
103	8085	69656
104	8170	69640
105	8224	69364
106	8290	69190
107	8385	69258
108	8458	69142
109	8513	68884
110	8611	68970
111	8664	68698
112	8739	68605
113	8817	68527
114	8890	68419
115	8943	68154
116	9016	68050
117	9073	67823
118	9150	67746
119	9222	67630
120	9308	67618
121	9392	67596
122	9495	67701
123	9562	67556
124	9642	67498
125	9744	67593
126	9800	67368
127	9853	67128
128	9957	67233
129	10028	67112
130	10088	66920
131	10152	66758
132	10214	66584
133	10288	66490
134	10327	66173
135	10393	66031
136	10433	65722
137	10524	65741
138	10588	65589
139	10641	65370
140	10711	65258
141	10777	65122
142	10828	64898
143	10900	64799
144	10952	64584
145	11035	64552
146	11094	64379
147	11128	64061
148	11181	63859
149	11282	63935
150	11334	63730
151	11383	63510
152	11456	63422
153	11560	63506
154	11660	63567
155	11714	63377
156	11787	63289
157	11858	63193
158	11890	62890
159	11963	62806
160	12010	62587
161	12062	62398
162	12140	62342
163	12201	62199
164	12258	62035
165	12316	61877
166	12388	61795
167	12481	61813
168	12555	61735
169	12633	61679
170	12700	61572
171	12798	61610
172	12876	61555
173	12949	61474
174	13011	61340
175	13054	61118
176	13131	61055
177	13205	60981
178	13281	60916
179	13345	60796
180	13432	60779
181	13491	60639
182	13546	60480
183	13621	60406
184	13680	60266
185	13720	60044
186	13768	59859
187	13834	59754
188	13914	59708
189	13992	59651
190	14052	59520
191	14123	59435
192	14193	59346
193	14269	59283
194	14329	59156
195	14399	59068
196	14466	58968
197	14524	58832
198	14591	58730
199	14658	58632
200	14752	58644
201	14842	58635
202	14887	58450
203	14923	58232
204	14988	58126
205	15050	58008
206	15085	57791
207	15175	57782
208	15254	57731
209	15308	57588
210	15366	57461
211	15435	57371
212	15468	57154
213	15535	57060
214	15631	57073
215	15682	56922
216	15743	56807
217	15813	56726
218	15866	56583
219	15907	56401
220	15997	56389
221	16050	56249
222	16106	56121
223	16178	56048
224	16267	56032
225	16310	55858
226	16354	55691
227	16398	55526
228	16475	55468
229	16527	55329
230	16590	55228
231	16688	55245
232	16774	55219
233	16805	55014
234	16877	54941
235	16942	54846
236	17002	54736
237	17055	54606
238	17098	54444
239	17149	54305
240	17185	54123
241	17218	53932
242	17307	53915
243	17382	53856
244	17456	53793
245	17545	53778
246	17611	53691
247	17670	53582
248	17736	53493
249	17786	53359
250	17873	53334
251	17953	53289
252	17986	53107
253	18083	53111
254	18142	53003
255	18205	52908
256	18259	52790
257	18331	52720
258	18407	52664
259	18470	52568
260	18525	52453
261	18597	52385
262	18652	52269
263	18740	52247
264	18804	52156
265	18877	52089
266	18949	52023
267	19008	51919
268	19104	51916
269	19209	51937
270	19282	51871
271	19360	51816
272	19430	51744
273	19496	51658
274	19565	51581
275	19611	51445
276	19677	51360
277	19736	51258
278	19791	51144
279	19862	51074
280	19923	50979
281	19995	50909
282	20059	50823
283	20127	50742
284	20194	50663
285	20242	50534
286	20328	50501
287	20391	50412
288	20467	50354
289	20537	50282
290	20588	50161
291	20655	50081
292	20710	49974
293	20776	49891
294	20882	49904
295	20958	49846
296	21026	49769
297	21071	49638
298	21121	49519
299	21170	49398
300	21224	49289
301	21277	49177
302	21364	49144
303	21408	49014
304	21462	48905
305	21554	48884
306	21597	48752
307	21665	48676
308	21729	48593
309	21776	48470
310	21848	48402
311	21910	48315
312	21957	48193
313	21986	48033
314	22052	47955
315	22126	47893
316	22189	47809
317	22255	47729
318	22313	47633
319	22389	47577
320	22431	47447
321	22510	47397
322	22576	47319
323	22655	47268
324	22711	47169
325	22764	47065
326	22826	46978
327	22910	46937
328	22979	46867
329	23058	46815
330	23132	46753
331	23185	46649
332	23273	46616
333	23311	46484
334	23375	46401
335	23429	46300
336	23485	46205
337	23566	46157
338	23621	46058
339	23689	45985
340	23739	45877
341	23807	45805
342	23860	45702
343	23911	45598
344	23970	45508
345	24037	45434
346	24105	45363
347	24173	45290
348	24208	45157
349	24269	45072
350	24346	45016
351	24391	44902
352	24465	44842
353	24571	44840
354	24640	44769
355	24716	44711
356	24777	44627
357	24878	44615
358	24914	44484
359	24936	44331
360	24993	44241
361	25053	44155
362	25115	44072
363	25152	43948
364	25191	43826
365	25261	43758
366	25305	43647
367	25359	43551
368	25415	43460
369	25441	43320
370	25504	43240
371	25578	43180
372	25639	43099
373	25701	43018
374	25771	42952
375	25845	42892
376	25872	42754
377	25929	42666
378	25982	42573
379	26035	42478
380	26076	42365
381	26158	42319
382	26268	42318
383	26353	42275
384	26409	42186
385	26509	42167
386	26590	42118
387	26669	42066
388	26754	42022
389	26810	41934
390	26877	41863
391	26938	41782
392	27010	41718
393	27092	41669
394	27160	41600
395	27208	41499
396	27256	41399
397	27288	41274
398	27328	41163
399	27412	41118
400	27441	40991
401	27491	40894
402	27540	40797
403	27596	40711
404	27658	40634
405	27747	40595
406	27810	40520
407	27865	40431
408	27953	40393
409	28058	40376
410	28111	40286
411	28165	40197
412	28224	40115
413	28287	40040
414	28366	39986
415	28433	39916
416	28502	39848
417	28552	39755
418	28590	39644
419	28650	39564
420	28700	39472
421	28773	39410
422	28864	39373
423	28911	39275
424	28968	39192
425	29016	39096
426	29085	39029
427	29127	38927
428	29225	38899
429	29288	38824
430	29354	38753
431	29397	38652
432	29430	38538
433	29536	38519
434	29594	38438
435	29658	38365
436	29729	38301
437	29806	38245
438	29871	38172
439	29926	38087
440	29981	38003
441	30036	37919
442	30124	37876
443	30173	37784
444	30253	37731
445	30334	37680
446	30432	37649
447	30523	37609
448	30587	37536
449	30671	37487
450	30758	37442
451	30840	37390
452	30905	37318
453	30978	37255
454	31050	37192
455	31088	37088
